=== VTF Upscaler 7.0.0 Log — 2026-03-30 20:13:43 ===

[20:13:43] ⚡ Using cached scan for 1 files (instant)...
[20:13:43] 🔍 Scan done: 1 to upscale (0.3 MB), 0 skipped | batch size: 200
[20:13:43] 📦 Batch 1/1 (1 files)...
[20:13:43] 📽️ Animated VTFs: 121 total frames queued for AI upscaling
[20:13:44] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame0.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame0.png done
[20:13:44] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame1.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame1.png done
[20:13:44] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame100.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame100.png done
[20:13:44] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame10.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame10.png done
[20:13:44] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame101.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame101.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame102.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame102.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame103.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame103.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame104.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame104.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame105.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame105.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame106.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame106.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame107.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame107.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame108.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame108.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame109.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame109.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame11.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame11.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame110.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame110.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame111.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame111.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame113.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame113.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame112.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame112.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame114.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame114.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame115.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame115.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame116.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame116.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame117.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame117.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame118.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame118.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame119.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame119.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame12.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame12.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame120.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame120.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame13.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame13.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame14.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame14.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame15.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame15.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame16.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame16.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame18.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame18.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame17.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame17.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame2.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame2.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame19.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame19.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame21.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame21.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame20.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame20.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame23.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame23.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame22.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame22.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame25.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame25.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame24.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame24.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame27.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame27.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame26.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame26.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame29.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame29.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame28.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame28.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame30.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame30.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame3.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame3.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame32.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame32.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame31.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame31.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame34.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame34.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame33.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame33.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame36.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame36.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame35.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame35.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame38.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame38.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame37.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame37.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame4.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame4.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame39.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame39.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame41.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame41.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame40.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame40.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame43.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame43.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame42.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame42.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame45.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame45.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame44.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame44.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame47.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame47.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame46.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame46.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame49.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame49.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame48.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame48.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame50.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame50.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame5.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame5.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame52.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame52.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame51.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame51.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame54.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame54.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame53.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame53.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame56.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame56.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame55.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame55.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame58.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame58.png done
[20:13:45] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame57.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame57.png done
